Frame,Conf,X1,Y1,X2,Y2,Width,Height,Modified_Temp
2,0.75064379,236,472,1811,522,1575,50,30.9
3,0.750714123,236,472,1811,522,1575,50,30.9
4,0.750543475,236,472,1811,522,1575,50,30.9
5,0.751104712,236,472,1811,522,1575,50,30.9
6,0.751063228,236,472,1811,522,1575,50,30.9
7,0.746136367,236,472,1810,522,1574,50,30.9
8,0.746512175,236,472,1810,522,1574,50,30.9
9,0.746443152,236,472,1810,522,1574,50,30.9
10,0.746435106,236,472,1810,522,1574,50,30.9
11,0.746903837,236,472,1810,522,1574,50,30.9
12,0.746982932,236,472,1810,522,1574,50,30.9
13,0.746840179,236,472,1810,522,1574,50,30.9
14,0.74682045,236,472,1810,522,1574,50,30.9
15,0.746834815,236,472,1810,522,1574,50,30.9
16,0.746809661,236,472,1810,522,1574,50,30.9
17,0.746745169,236,472,1810,522,1574,50,30.9
18,0.703800797,236,470,1811,519,1575,49,30.9
19,0.704199672,236,470,1811,519,1575,49,30.9
20,0.704231203,236,470,1811,519,1575,49,30.9
21,0.703988671,236,470,1811,519,1575,49,30.9
22,0.70414561,236,470,1811,519,1575,49,30.9
23,0.704113483,236,470,1811,519,1575,49,30.9
24,0.704010904,236,470,1811,519,1575,49,30.9
25,0.704093516,236,470,1811,519,1575,49,30.9
26,0.703837395,236,470,1811,519,1575,49,30.9
27,0.703837395,236,470,1811,519,1575,49,30.9
28,0.37565589,288,465,1863,517,1575,52,30.9
29,0.367489249,288,465,1863,517,1575,52,30.9
30,0.366534173,236,465,1811,517,1575,52,30.9
31,0.367694557,236,465,1811,517,1575,52,30.9
32,0.36869067,288,465,1863,517,1575,52,30.9
33,0.368522644,288,465,1863,517,1575,52,30.9
34,0.369435698,288,465,1863,517,1575,52,30.9
35,0.368270457,288,465,1863,517,1575,52,30.9
36,0.36819613,288,465,1863,517,1575,52,30.9
37,0.339109093,236,460,1810,511,1574,51,30.9
38,0.337283015,236,460,1810,511,1574,51,30.9
39,0.331031889,236,460,1810,511,1574,51,30.9
40,0.340771973,183,460,1758,511,1575,51,30.9
41,0.335694671,183,460,1758,511,1575,51,30.9
42,0.334385961,183,460,1758,511,1575,51,30.9
43,0.340295047,183,460,1758,511,1575,51,30.9
44,0.345183104,183,460,1758,511,1575,51,30.9
45,0.346526504,183,460,1758,511,1575,51,30.9
46,0.399652034,183,460,1758,511,1575,51,30.9
58,0.556753814,236,466,1811,517,1575,51,30.9
59,0.552214324,236,467,1811,517,1575,50,30.9
60,0.551599681,236,467,1811,517,1575,50,30.9
61,0.552287519,236,466,1811,517,1575,51,30.9
62,0.551874816,236,467,1811,517,1575,50,30.9
63,0.551909626,236,467,1811,517,1575,50,30.9
64,0.552694023,236,467,1811,517,1575,50,30.9
65,0.551670074,236,467,1811,517,1575,50,30.9
66,0.551742613,236,467,1811,517,1575,50,30.9
67,0.700720847,288,469,1863,519,1575,50,30.9
68,0.700554967,288,469,1863,519,1575,50,30.9
69,0.700373888,288,470,1863,519,1575,49,30.9
70,0.698557138,288,470,1863,519,1575,49,30.9
71,0.699025989,288,470,1863,519,1575,49,30.9
72,0.699082315,288,470,1863,519,1575,49,30.9
73,0.69882828,288,470,1863,519,1575,49,30.9
74,0.699131072,288,470,1863,519,1575,49,30.9
75,0.698998213,288,470,1863,519,1575,49,30.9
76,0.69868046,288,470,1863,519,1575,49,30.9
77,0.736363471,236,471,1811,520,1575,49,30.9
78,0.738988578,236,471,1811,520,1575,49,30.9
79,0.739116728,236,471,1811,520,1575,49,30.9
80,0.738628864,236,471,1811,520,1575,49,30.9
81,0.738918245,236,471,1811,520,1575,49,30.9
82,0.739011347,236,471,1811,520,1575,49,30.9
83,0.738531828,236,471,1811,520,1575,49,30.9
84,0.738609433,236,471,1811,520,1575,49,30.9
85,0.738884807,236,471,1811,520,1575,49,30.9
86,0.738848507,236,471,1811,520,1575,49,30.9
87,0.738769054,236,471,1811,520,1575,49,30.9
88,0.736465156,236,471,1810,520,1574,49,30.9
89,0.737122715,236,471,1810,520,1574,49,30.9
90,0.737337768,236,471,1810,520,1574,49,30.9
91,0.735182285,236,471,1811,521,1575,50,30.9
92,0.735483587,236,471,1811,521,1575,50,30.9
93,0.735457063,236,471,1811,521,1575,50,30.9
94,0.735577941,236,471,1811,521,1575,50,30.9
95,0.735381126,236,471,1811,521,1575,50,30.9
96,0.735402226,236,471,1811,521,1575,50,30.9
97,0.7296893,183,470,1758,520,1575,50,30.9
98,0.731183052,183,470,1758,520,1575,50,30.9
99,0.731129885,183,470,1758,520,1575,50,30.9
100,0.730516315,183,470,1758,520,1575,50,30.9
101,0.730525374,183,470,1758,520,1575,50,30.9
102,0.730443478,183,470,1758,520,1575,50,30.9
103,0.730533063,183,470,1758,520,1575,50,30.9
104,0.730689585,183,470,1758,520,1575,50,30.9
105,0.73056215,183,470,1758,520,1575,50,30.9
106,0.730549395,183,470,1758,520,1575,50,30.9
107,0.73064065,183,470,1758,520,1575,50,30.9
108,0.608843148,236,467,1811,518,1575,51,30.9
109,0.612279534,236,467,1811,518,1575,51,30.9
110,0.612658918,236,467,1811,518,1575,51,30.9
111,0.613236606,236,467,1811,518,1575,51,30.9
112,0.612301707,236,467,1811,518,1575,51,30.9
113,0.613092422,236,467,1811,518,1575,51,30.9
114,0.612993181,236,467,1811,518,1575,51,30.9
115,0.612589657,236,467,1811,518,1575,51,30.9
116,0.612753272,236,467,1811,518,1575,51,30.9
117,0.61283499,236,467,1811,518,1575,51,30.9
118,0.459700227,236,464,1811,517,1575,53,30.9
119,0.461213678,236,464,1811,517,1575,53,30.9
120,0.461667836,236,464,1811,517,1575,53,30.9
121,0.462597191,236,464,1811,517,1575,53,30.9
122,0.465396971,236,464,1811,517,1575,53,30.9
123,0.465549082,236,464,1811,517,1575,53,30.9
124,0.462691754,236,464,1811,517,1575,53,30.9
125,0.463695407,236,464,1811,517,1575,53,30.9
126,0.464693487,236,464,1811,517,1575,53,30.9
127,0.389477104,184,460,1758,512,1574,52,30.9
