                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6229,                  3.129,                 1.7487,                0.13541,                   0.27,                0.12017,                0.03477,                 2.7263,                 2.5757,                0.78432,             0.00066506,             0.00066506,             0.00066506
                      2,                 1.7106,                 2.4049,                 1.1643,                0.08601,                   0.74,                0.12783,                0.04467,                 2.1693,                 2.6841,                0.59827,              0.0013273,              0.0013273,              0.0013273
                      3,                 1.5552,                 2.2608,                 1.0495,                  0.076,                   0.79,                0.10989,                0.04465,                 2.0143,                 2.2656,                0.58376,              0.0019852,              0.0019852,              0.0019852
                      4,                 1.5188,                 2.2118,                 1.0167,                0.06475,                    0.9,                0.14506,                0.06073,                 2.0038,                   2.19,                0.59167,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.4634,                 2.1562,                0.96115,                0.13285,                0.39833,                0.18924,                0.07111,                 2.0599,                   2.22,                0.55981,              0.0019736,              0.0019736,              0.0019736
                      6,                 1.3792,                 2.1268,                0.92431,                0.10094,                0.59393,                0.09739,                0.04707,                 2.1474,                 2.2231,                0.55127,               0.001967,               0.001967,               0.001967
                      7,                 1.3538,                 2.0964,                 0.9094,                0.10495,                0.84187,                0.15713,                0.05704,                 2.2617,                 2.0719,                 0.6068,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.3585,                 2.0913,                0.91474,                 0.0968,                   0.68,                0.11394,                0.05951,                  1.959,                 2.1514,                0.57566,              0.0019538,              0.0019538,              0.0019538
                      9,                 1.3193,                 2.0694,                0.89477,                0.10816,                   0.83,                 0.1406,                0.05551,                 2.1629,                 2.1092,                0.57241,              0.0019472,              0.0019472,              0.0019472
                     10,                  1.316,                 2.0509,                0.89317,                0.11944,                    0.7,                0.15422,                0.07706,                 1.9125,                 2.0451,                0.59973,              0.0019406,              0.0019406,              0.0019406
                     11,                  1.337,                 2.0389,                0.89835,                0.13441,                   0.66,                0.14834,                0.07482,                 1.9104,                 2.0345,                0.58301,               0.001934,               0.001934,               0.001934
                     12,                 1.3136,                 2.0154,                0.89331,                 0.1518,                   0.76,                0.17313,                0.09134,                 1.9228,                 1.8863,                  0.575,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.2796,                 2.0084,                0.88065,                0.12371,                   0.74,                0.15659,                0.07514,                 1.8887,                 2.0403,                  0.552,              0.0019208,              0.0019208,              0.0019208
                     14,                 1.2956,                 2.0174,                  0.891,                0.17189,                   0.56,                 0.1857,                0.07631,                 1.9943,                 1.9572,                0.61177,              0.0019142,              0.0019142,              0.0019142
                     15,                 1.2707,                 1.9952,                0.87719,                0.13725,                   0.66,                0.15889,                0.07817,                 1.8818,                 1.9802,                0.58302,              0.0019076,              0.0019076,              0.0019076
